EntrezGeneId,UniProtID
4841,http://www.uniprot.org/uniprot/Q15233
4851,http://www.uniprot.org/uniprot/P46531
4853,http://www.uniprot.org/uniprot/Q04721
4869,http://www.uniprot.org/uniprot/P06748
8013,http://www.uniprot.org/uniprot/Q92570
4893,http://www.uniprot.org/uniprot/P01111
3084,http://www.uniprot.org/uniprot/Q02297
64324,http://www.uniprot.org/uniprot/Q96L73
22978,http://www.uniprot.org/uniprot/P49902
4914,http://www.uniprot.org/uniprot/P04629
4916,http://www.uniprot.org/uniprot/Q16288
4926,http://www.uniprot.org/uniprot/Q14980
8021,http://www.uniprot.org/uniprot/P35658
4928,http://www.uniprot.org/uniprot/P52948
256646,http://www.uniprot.org/uniprot/Q86Y26
728118,http://www.uniprot.org/uniprot/Q8IVF1
729262,http://www.uniprot.org/uniprot/A6NNL0
10215,http://www.uniprot.org/uniprot/Q13516
286530,http://www.uniprot.org/uniprot/Q86VZ1
5049,http://www.uniprot.org/uniprot/P68402
79728,http://www.uniprot.org/uniprot/Q86YC2
5077,http://www.uniprot.org/uniprot/P23760
5079,http://www.uniprot.org/uniprot/Q02548
5081,http://www.uniprot.org/uniprot/P23759
7849,http://www.uniprot.org/uniprot/Q06710
55193,http://www.uniprot.org/uniprot/Q86U86
5087,http://www.uniprot.org/uniprot/P40424
5108,http://www.uniprot.org/uniprot/Q15154
80380,http://www.uniprot.org/uniprot/Q9BQ51
9659,http://www.uniprot.org/uniprot/Q5VU43
5155,http://www.uniprot.org/uniprot/P01127
5156,http://www.uniprot.org/uniprot/P16234
5159,http://www.uniprot.org/uniprot/P09619
5187,http://www.uniprot.org/uniprot/O15534
84295,http://www.uniprot.org/uniprot/Q8IWS0
8929,http://www.uniprot.org/uniprot/Q99453
8301,http://www.uniprot.org/uniprot/Q13492
5290,http://www.uniprot.org/uniprot/P42336
5291,http://www.uniprot.org/uniprot/P42338
5295,http://www.uniprot.org/uniprot/P27986
5292,http://www.uniprot.org/uniprot/P11309
5324,http://www.uniprot.org/uniprot/Q6DJT9
5335,http://www.uniprot.org/uniprot/P19174
5371,http://www.uniprot.org/uniprot/P29590
5395,http://www.uniprot.org/uniprot/P54278
5424,http://www.uniprot.org/uniprot/P28340
5426,http://www.uniprot.org/uniprot/Q07864
10721,http://www.uniprot.org/uniprot/O75417
25913,http://www.uniprot.org/uniprot/Q9NUX5
5450,http://www.uniprot.org/uniprot/Q16633
5460,http://www.uniprot.org/uniprot/Q01860
5468,http://www.uniprot.org/uniprot/P37231
8496,http://www.uniprot.org/uniprot/Q86W92
8493,http://www.uniprot.org/uniprot/O15297
5518,http://www.uniprot.org/uniprot/P30153
5537,http://www.uniprot.org/uniprot/O00743
5546,http://www.uniprot.org/uniprot/Q92733
639,http://www.uniprot.org/uniprot/O75626
63976,http://www.uniprot.org/uniprot/Q9HAZ2
80243,http://www.uniprot.org/uniprot/Q70Z35
5551,http://www.uniprot.org/uniprot/P14222
5566,http://www.uniprot.org/uniprot/P17612
5573,http://www.uniprot.org/uniprot/P10644
5396,http://www.uniprot.org/uniprot/P54821
11168,http://www.uniprot.org/uniprot/O75475
5727,http://www.uniprot.org/uniprot/Q13635
5728,http://www.uniprot.org/uniprot/P60484
5753,http://www.uniprot.org/uniprot/Q13882
5781,http://www.uniprot.org/uniprot/Q06124
5783,http://www.uniprot.org/uniprot/Q12923
5787,http://www.uniprot.org/uniprot/P23467
5788,http://www.uniprot.org/uniprot/P08575
5796,http://www.uniprot.org/uniprot/Q15262
11122,http://www.uniprot.org/uniprot/O14522
9444,http://www.uniprot.org/uniprot/Q96PU8
9135,http://www.uniprot.org/uniprot/Q15276
5879,http://www.uniprot.org/uniprot/P63000
5885,http://www.uniprot.org/uniprot/O60216
5890,http://www.uniprot.org/uniprot/O15315
5894,http://www.uniprot.org/uniprot/P04049
5903,http://www.uniprot.org/uniprot/P49792
5910,http://www.uniprot.org/uniprot/P52306
5914,http://www.uniprot.org/uniprot/P10276
5925,http://www.uniprot.org/uniprot/P06400
8241,http://www.uniprot.org/uniprot/P98175
64783,http://www.uniprot.org/uniprot/Q96T37
9401,http://www.uniprot.org/uniprot/O94761
5966,http://www.uniprot.org/uniprot/Q04864
5979,http://www.uniprot.org/uniprot/P07949
387,http://www.uniprot.org/uniprot/P61586
399,http://www.uniprot.org/uniprot/Q15669
116028,http://www.uniprot.org/uniprot/Q96E14
57674,http://www.uniprot.org/uniprot/Q63HN8
54894,http://www.uniprot.org/uniprot/Q68DV7
6098,http://www.uniprot.org/uniprot/P08922
6134,http://www.uniprot.org/uniprot/P27635
6146,http://www.uniprot.org/uniprot/P35268
6125,http://www.uniprot.org/uniprot/P46777
6184,http://www.uniprot.org/uniprot/P04843
340419,http://www.uniprot.org/uniprot/Q6UXX9
84870,http://www.uniprot.org/uniprot/Q9BXY4
861,http://www.uniprot.org/uniprot/Q01196
862,http://www.uniprot.org/uniprot/Q06455
57167,http://www.uniprot.org/uniprot/Q9UJQ4
51119,http://www.uniprot.org/uniprot/Q9Y3A5
6385,http://www.uniprot.org/uniprot/P31431
6389,http://www.uniprot.org/uniprot/P31040
54949,http://www.uniprot.org/uniprot/Q9NX18
6390,http://www.uniprot.org/uniprot/P21912
6391,http://www.uniprot.org/uniprot/Q99643
